title,doi,year,authors,abstract,keywords,relevance_score,pdf_url,publisher,journal,type
"References from the Author and from the Article Published at PRAMANA on August 13, 2020",10.1051/978-2-7598-2574-5.c036,2021,,,work performance,1.2,,EDP Sciences,What is Space-Time Made of ?,book-chapter
English Drama from &lt;i&gt;Everyman&lt;/i&gt; to 1660: Performance and Print,10.33137/rr.v40i2.28521,0,Frederick Kiefer (book author); Peter Paolucci (review author),,work performance,0.0,https://jps.library.utoronto.ca/index.php/renref/article/download/28521/21038,University of Toronto Libraries - UOTL,Renaissance and Reformation,journal-article
"Article with BY print pub date, CY online pub date, issue BY print pub date",10.5555/pubdate12,2000,Bob. Surname,,employee engagement,0.0,,Test accounts,Journal of Test Deposits,journal-article
"Article with BY print pub date, CY online pub date, issue CY online BY print pub date",10.5555/pubdate9,2000,Bob. Surname,,employee engagement,0.0,,Test accounts,Journal of Test Deposits,journal-article
"Article with BY print pub date, issue BY print pub date",10.5555/pubdate10,2000,Bob. Surname,,employee engagement,0.0,,Test accounts,Journal of Test Deposits,journal-article
"Article with BY print pub date, issue CY online BY print pub date",10.5555/pubdate7,2000,Bob. Surname,,employee engagement,0.0,,Test accounts,Journal of Test Deposits,journal-article
"Article with BY print pub date, CY online pub date, issue CY online pub date",10.5555/pubdate6,2000,Bob. Surname,,employee engagement,0.0,,Test accounts,Journal of Test Deposits,journal-article
"Article with CY online pub date, issue BY print pub date",10.5555/pubdate11,0,Bob. Surname,,employee engagement,0.0,,Test accounts,Journal of Test Deposits,journal-article
"Article with CY online pub date, issue CY onlineBY print pub date",10.5555/pubdate8,0,Bob. Surname,,employee engagement,0.0,,Test accounts,Journal of Test Deposits,journal-article
Guide to Microforms in Print: Author/Title; Guide to Microforms in Print: Subject. 2 vols,10.1163/2468-1733_shafr_sim020030030,0,,,employee engagement,0.0,,Brill,The SHAFR Guide Online,dataset
"Title, author, date",10.1017/cbo9781107297951.002,1983,,,employee engagement,0.0,,Cambridge University Press,A Study of Daphnis and Chloe,book-chapter
URL Data Type,10.32388/yfmyre,0, ,,employee engagement,0.0,,Qeios,Definitions,reference-entry
From the Editor…: Make the Title Count,10.1111/j.1750-4910.2013.tb00161.x,2013,Marilyn H. Oermann; Adrianne K. Leonardelli,,employee engagement,0.0,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1750-4910.2013.tb00161.x,Wiley,Nurse Author &amp; Editor,journal-article
Guide to Microforms in Print 2002: Incorporating International Microforms in Print. Author‐Title,10.1108/09504120310455768,2003,,,employee engagement,0.0,,Emerald,Reference Reviews,journal-article
"Print, Sign, Date Form",10.32388/76qi4j,0, ,,employee engagement,0.0,,Qeios,Definitions,reference-entry
Select Bibliography (Works Published after 1800),10.1017/9781139021289.009,2019,,,employee engagement,0.8,,Cambridge University Press,Conflict and Enlightenment,book-chapter
Publishers and Distributors incorporating Print-on-Demand,10.1515/9783110405354-021,2021,,,employee engagement,1.2,,De Gruyter,Author Title and Subject Guide,book-chapter
Publishers and Distributors incorporating Print-on-Demand,10.1515/9783110405354-007,2021,,,employee engagement,1.2,,De Gruyter,Author Title and Subject Guide,book-chapter
Bullying effects on performance and engagement among academics,10.1108/er-11-2017-0264,2019,Matti Meriläinen; Kristi Kõiv; Anu Honkanen,"<jats:sec><jats:title content-type=""abstract-subheading"">Purpose</jats:title><jats:p>The purpose of this paper is to examine relationships between perceived bullying, work engagement and work performance among Estonian academics. Specifically, it details what forms of bullying affect work engagement and performance. Moreover, the study explores the relationship between engagement and performance among bullied academics.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-subheading"">Design/methodology/approach</jats:title><jats:p>A total of 864 faculty members from nine Estonian universities participated in an e-mail survey in Spring 2014. Bullying was measured using the Negative Acts Questionnaire-Revised (NAQ-R22), and work engagement was assessed using the nine-item Utrecht Work Engagement Scale. Respondents’ perceived performance and productivity were measured on a ten-point rating scale. Structural equation modelling was used to analyse the relationship between bullying, engagement and performance.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-subheading"">Findings</jats:title><jats:p>Perceived bullying – especially “professional understating” – decreased work engagement and work performance among Estonian academics. The decrease in performance preceded the decrease in engagement or vice versa. The decrease in engagement was followed by lowered performance.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-subheading"">Research limitations/implications</jats:title><jats:p>A longitudinal study is needed to prove the specific one-way effect of (decreased) performance (because of perceived bullying) on engagement.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-subheading"">Practical implications</jats:title><jats:p>Preventing bullying and further increasing engagement and performance among Estonian academics requires getting out of policy of professional understating.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-subheading"">Social implications</jats:title><jats:p>The authors need to determine why Estonian academics experience professional understating, which includes being ordered to perform tasks below one’s level of competence and having key areas of responsibility removed or replaced with more trivial or unpleasant tasks.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-subheading"">Originality/value</jats:title><jats:p>The present results prove that it is possible to differentiate between specific forms of bullying in a specific context and further reveal those factors specifically that affect work performance and work engagement. Among Estonian academics – revealed in this study – “professional understating” seems to be such a factor.</jats:p></jats:sec>",employee engagement,0.8,,Emerald,Employee Relations: The International Journal,journal-article
Evaluating the link between Corporate Social Responsibility (CSR) and Employee Engagement: Evidence from Selected Commercial Banks of Bangladesh,10.7176/ejbm/11-33-04,2019,,,employee engagement,3.8,,"International Institute for Science, Technology and Education",European Journal of Business and Management,journal-article
"Leadership, Communication &amp; Employee Engagement",10.4135/9781529723243,2020,,,employee engagement,4.0,,SAGE Publications Ltd,,
Illustrative Example of an Engagement Letter for a 401(k) Employee Benefit Plan Audit Engagement,10.1002/9781119764007.app6,2020,,,employee engagement,1.0,https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781119764007.app6,Wiley,Auditing Employee Benefit Plans,other
Psychological detachment,10.1108/pr-12-2018-0480,2020,Debjani Ghosh; Tomoki Sekiguchi; Yuka Fujimoto,"<jats:sec><jats:title content-type=""abstract-subheading"">Purpose</jats:title><jats:p>The purpose of this paper is to develop an additional perspective on when and why intrinsic motivation predicts employee engagement by presenting a contextual boundary of psychological detachment in relation to the relationship between intrinsic motivation, employee creativity and employee engagement of workers.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-subheading"">Design/methodology/approach</jats:title><jats:p>Data were collected from 288 full-time Japanese workers using an online survey. The study used a bootstrap method (Preacher and Hayes, 2008) to test mediation, and a Hayes method (2013) to test moderation and a first-stage moderated mediation model.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-subheading"">Findings</jats:title><jats:p>Employee creativity mediated the relationship between intrinsic motivation and employee engagement, and the relationship between intrinsic motivation and creativity was moderated by psychological detachment. Additionally, the indirect effect of intrinsic motivation on employee engagement via creativity was moderated by psychological detachment.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-subheading"">Research limitations/implications</jats:title><jats:p>The cross-sectional design may have limited the empirical inferences; however, the proposed model was based on robust theoretical contentions, and the study included an unrelated “marker variable” (neuroticism) as an effective means of identifying common method variance (CMV), thus mitigating the limitation of the design.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-subheading"">Practical implications</jats:title><jats:p>This study has shown that intrinsically motivated employees who practice psychological detachment from work achieve higher creativity and stronger employee engagement.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-subheading"">Originality/value</jats:title><jats:p>Based on the unconscious thought theory (UTT), job demand resource theory (JD-R), recovery processes (i.e. effort-recovery model) and self-determination theory (SDT), this paper adds to the literature by demonstrating the mediating and moderating mechanisms driving intrinsic motivation and employee engagement relationship.</jats:p></jats:sec>",employee engagement,3.0,,Emerald,Personnel Review,journal-article
Employee Engagement and the Employee Experience,10.1007/978-3-030-36387-1_1,2020,Paul Turner,,employee engagement,4.0,,Springer International Publishing,Employee Engagement in Contemporary Organizations,book-chapter
Employee (Dis)Engagement in Corporate Social Responsibility,10.4135/9781529739176.n2,2020,Ante Glavas; Chelsea Willness,,employee engagement,1.0,,SAGE Publications Ltd,Employee Engagement in Corporate Social Responsibility,book-chapter
Employee engagement and balance scorecard performance in full- and select-service hotels,10.20935/al1833,0,Mary Dolasinski; Chris Roberts,,employee engagement,3.0,,Academia.edu,Academia Letters,journal-article
Discrete Set Telecommunication URL Data Type,10.32388/29d9od,0, ,,employee engagement,0.0,,Qeios,Definitions,reference-entry
An Experiment to Link Geo-Referenced Multimedia and CityGML Features,10.62973/19-090r1,0,,,employee engagement,0.0,,"Open Geospatial Consortium, Inc.",,report
Measuring Employee Engagement,10.1007/978-3-030-36387-1_8,2020,Paul Turner,,employee engagement,4.0,,Springer International Publishing,Employee Engagement in Contemporary Organizations,book-chapter
How do writing systems shape reading and reading acquisition? Kathy Rastle DOI: 10.36505/ExLing-2020/11/0001/000416  Published in ExLing 2020 Children’s syntax: a parametric approach William Snyder DOI: 10.36505/ExLing-2020/11/0002/000417  Published in ExLing 2020 A neurophonetic perspective on articulation planning Wolfram Ziegler DOI: 10.36505/ExLing-2020/11/0003/000418  Published in ExLing 2020 Masked priming in picture naming and lexical selection Manal Alharbi DOI: 10.36505/ExLing-2020/11/0004/000419  Published in ExLing 2020 Syllable rate vs. segment rate in perceived speech rate Yahya Aldholmi DOI: 10.36505/ExLing-2020/11/0005/000420  Published in ExLing 2020 Properties of nominal stress grammar in Greek Vasiliki Apostolouda DOI: 10.36505/ExLing-2020/11/0006/000421  Published in ExLing 2020 Eliciting focus-sensitive why-questions in Japanese,10.36505/exling-2020/11/0007/000422,0,Kodai Aramaki; Kanako Ikeda; Kyoko Yamakoshi; Tomohiro Fujii,"<jats:p>The study argues that in focus-sensitive why-questions in Japanese, why must precede its focus associate. It is proposed that this word order restriction follows if the why-as-CPmodifier approach is applied to the Japanese construction under investigation. It also reports the results of the elicitation experiment conducted to experimentally confirm the word order restriction.</jats:p>",employee engagement,0.0,,ExLing Society,Proceedings of 11th International Conference of Experimental Linguistics,proceedings-article
Microporous Materials for Separation Membranes,10.1007/s10337-020-03968-y,2020,,,employee engagement,1.0,https://link.springer.com/content/pdf/10.1007/s10337-020-03968-y.pdf,Springer Science and Business Media LLC,Chromatographia,journal-article
Relevance of employee engagement across cultures from the perspective of HR professional associations,10.4324/9780203076965-26,2013,,,employee engagement,3.0,,Routledge,Employee Engagement in Theory and Practice,book-chapter
Employee engagement in non-Western contexts: The link between social resources <i>Ubuntu</i> and employee engagement,10.1177/14705958211007874,2021,Joy Tauetsile,"<jats:p> Underpinned by Social Exchange Theory (SET) this study examines the relationship between social resources and employee engagement using the Ubuntu construct as a mediating variable. Employee engagement conceptualized as a positive work-related mind-set has demonstrated positive association with both supervisor support and colleague support. The study uses data collected from employees in organizations in Botswana (n = 438) to assess the relationship between social resources and employee engagement using Ubuntu as a mediating variable. Using mediation analysis, findings suggest that high levels of Ubuntu enhance the strength of the relationship among supervisor support, colleague support and employee engagement. These findings open significant potential for future studies identifying the cultural peculiarities as well as managerial implications of management concepts such as employee engagement in non-western settings and underlining the importance of the Ubuntu concept in managing staff in a sub-Saharan Africa country. </jats:p>",employee engagement,6.2,https://journals.sagepub.com/doi/pdf/10.1177/14705958211007874,SAGE Publications,International Journal of Cross Cultural Management,journal-article
What Is Employee Engagement?,10.1007/978-3-030-36387-1_2,2020,Paul Turner,,employee engagement,4.0,,Springer International Publishing,Employee Engagement in Contemporary Organizations,book-chapter
Development of Employee Engagement through CSR,10.4135/9781529739176.n3,2020,Andy Kidd; Thomas Maak; Nicola Pless; Howard Harris,,employee engagement,4.0,,SAGE Publications Ltd,Employee Engagement in Corporate Social Responsibility,book-chapter
Author and Name Index,10.1002/9781444306538.indauth,2009,,,employee engagement,0.0,,Wiley,Employee Engagement,other
Determining the link between employee engagement and organizational effectiveness,10.1108/sd-05-2020-0102,2020,,"<jats:sec>
<jats:title content-type=""abstract-subheading"">Purpose</jats:title>
<jats:p>This paper aims to review the latest management developments across the globe and pinpoint practical implications from cutting-edge research and case studies.</jats:p>
</jats:sec>
<jats:sec>
<jats:title content-type=""abstract-subheading"">Design/methodology/approach</jats:title>
<jats:p>This briefing is prepared by an independent writer who adds their own impartial comments and places the articles in context.</jats:p>
</jats:sec>
<jats:sec>
<jats:title content-type=""abstract-subheading"">Findings</jats:title>
<jats:p>This research paper concentrates on clarifying the link between employee engagement and organizational effectiveness, as well as the use of social media to boost these commercially desirable phenomena. The results show that engagement’s team commitment dimension was ranked highest, while the organizational strategy implementation dimension ranked the most negatively. Performance is therefore being leaked most significantly from this latter engagement category. Social media communication had a negative impact on employee engagement because it was executed poorly, leaving much room for leadership improvements. Understanding the psychology of presence and motivation is key to translating the potential for well-communicated action into reality.</jats:p>
</jats:sec>
<jats:sec>
<jats:title content-type=""abstract-subheading"">Originality/value</jats:title>
<jats:p>The briefing saves busy executives, strategists and researchers hours of reading time by selecting only the very best, most pertinent information and presenting it in a condensed and easy-to-digest format.</jats:p>
</jats:sec>",employee engagement,6.0,,Emerald,Strategic Direction,journal-article
"Exploring the Link between Training and Development, Employee Engagement and Employee Retention",10.32996/jbms.2023.5.1.17,0,Seema Bhakuni; Sandeep Saxena,"<jats:p>Training the employees also helps to reduce the revenge motive in managing stress levels and conflicts. 66% of employees have shown a high engagement level. In this research study, secondary qualitative methods have been incorporated with the help of a systematic review method of analysis. The major finding of the study includes that the training and development of the employees play a crucial role in the growth and development of the business organization. Implementing different innovative strategies made by different organizations helps to improve performance levels and results in high productivity and profitability. It helps to upgrade the organization's profile and reputation. Challenges faced by the organization include the fulfillment of the need and requirements of the employees associated with job satisfaction along with the safety and security of the job role. The impact of training and developmental procedures on the employees helps to increase engagement.</jats:p>",employee engagement,3.0,https://al-kindipublisher.com/index.php/jbms/article/download/4865/4132,Al-Kindi Center for Research and Development,Journal of Business and Management Studies,journal-article
A Model for Employee Engagement,10.1007/978-3-030-36387-1_4,2020,Paul Turner,,employee engagement,4.0,,Springer International Publishing,Employee Engagement in Contemporary Organizations,book-chapter
Why Is Employee Engagement Important?,10.1007/978-3-030-36387-1_3,2020,Paul Turner,,employee engagement,4.0,,Springer International Publishing,Employee Engagement in Contemporary Organizations,book-chapter
Employee Engagement as Motivation: Practitioner Models,10.31124/advance.13270571.v1,0,Jeremy Pincus,"<jats:p>Despite employee engagement’s centrality as a construct, clear theoretical and operational definitions are few and far between. We argue for re-conceptualizing engagement, grounding it in the vast psychological literature on human motivation. Herein lies the paper’s contribution; we argue that the apparent conceptual proliferation can be understood as attempts to draw ever nearer to key motivational concepts. We review engagement definitions and find that they are reducible to a comprehensive taxonomy of twelve human motives. We consider the impact of rooting engagement in existing motivational constructs for each of the following: (a) theory, especially the development of engagement systems; (b) methods, including the value of applying a comprehensive, structural approach; and (c) practice, where we emphasize the practical advantages of clear operational definitions.</jats:p>",employee engagement,5.0,,SAGE Publications,,posted-content
From Pen to Print: 8 Tips for Getting Published in Literary Magazines,10.33972/trr.53,0,Becky Tuch,"<jats:p xml:lang=""en"">1. Be professional. You have done the first part of your homework by visiting this site. Next, take the time to visit the individual sites of lit mags that you are interested in. Read their guidelines. For some reason, people often consider themselves exempt from rules. You're not. You must play by the rules like everyone else. It doesn't make you boring. It makes your writing accessible.</jats:p>",employee engagement,0.0,,"Foley Center Library, Gonzaga University",The Review Review,journal-article
Determining the Relationship between Employee Engagement and Employee Satisfaction: A Review of Literature,10.37200/ijpr/v24i5/pr2020211,2020,Sunil Yadav,,employee engagement,4.0,,Hampstead Psychological Associates,International Journal of Psychosocial Rehabilitation,journal-article
Employee Engagement as Motivation: Practitioner Models,10.31124/advance.13270571,0,Jeremy Pincus,"<jats:p>Despite employee engagement’s centrality as a construct, clear theoretical and operational definitions are few and far between. We argue for re-conceptualizing engagement, grounding it in the vast psychological literature on human motivation. Herein lies the paper’s contribution; we argue that the apparent conceptual proliferation can be understood as attempts to draw ever nearer to key motivational concepts. We review engagement definitions and find that they are reducible to a comprehensive taxonomy of twelve human motives. We consider the impact of rooting engagement in existing motivational constructs for each of the following: (a) theory, especially the development of engagement systems; (b) methods, including the value of applying a comprehensive, structural approach; and (c) practice, where we emphasize the practical advantages of clear operational definitions.</jats:p>",employee engagement,5.0,,SAGE Publications,,posted-content
Making HR count,10.1108/09670730810869538,2008,,"<jats:sec><jats:title content-type=""abstract-heading"">Purpose</jats:title><jats:p><jats:italic>Reviews the latest management developments across the globe and pinpoints practical implications from cutting‐edge research and case studies.</jats:italic></jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-heading"">Design/methodology/approach</jats:title><jats:p><jats:italic>This briefing is prepared by an independent writer who adds their own impartial comments and places the articles in context.</jats:italic></jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-heading"">Findings</jats:title><jats:p><jats:italic>Kate Feather is an HR professional at PeopleMetrics, Philadelphia. In her article, “Helping HR to measure up: arming the ‘soft’ function with hard metrics”, she establishes how HR, typically viewed as a discipline which does not operate within traditional business practices of measurement and corporate strategy, can and should be embraced as an asset in holistic business management.</jats:italic></jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-heading"">Practical implications</jats:title><jats:p><jats:italic>Provides strategic insights and practical thinking that have influenced some of the world's leading organizations.</jats:italic></jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-heading"">Originality/value</jats:title><jats:p><jats:italic>The briefing saves busy executives and researchers hours of reading time by selecting only the very best, most pertinent information and presenting it in a condensed and easy‐to‐digest format.</jats:italic></jats:p></jats:sec>",employee engagement,0.0,,Emerald,Human Resource Management International Digest,journal-article
Twenty Important Conclusions About Employee Engagement,10.1007/978-3-030-36387-1_10,2020,Paul Turner,,employee engagement,4.0,,Springer International Publishing,Employee Engagement in Contemporary Organizations,book-chapter
AUTHOR INDEX,10.1111/j.1464-410x.2006.06086.x,2006,,,employee engagement,0.0,,Wiley,BJU International,journal-article
HRM and Employee Engagement Link: Mediating Role of Employee Well-being,10.1177/0972150917713369,2018,P. Sivapragasam; R. P. Raya,"<jats:p> The debate concerning the link between human resource management (HRM) and employee level as well as organizational outcomes has reached an interesting crossroads. While studies continue to demonstrate a relationship between financial success and the organization’s commitment to management practices that support people’s goals and treat people as assets, yet in reality, the focus on achieving short-term financial performance has obscured the consideration of people-oriented goals. Given the centrality of HRM practices to organizational success, this study reports the results of a survey conducted among 626 knowledge professionals working in IT companies in Chennai city of the Indian state of Tamil Nadu. The study found statistically significant relationship between HRM practices and employee-level outcomes such as perceived efficacy, engagement and employee well-being, where employee well-being plays a mediating role. The implications of the findings of the theory and practice of HRM have been discussed. </jats:p>",employee engagement,3.6,https://journals.sagepub.com/doi/pdf/10.1177/0972150917713369,SAGE Publications,Global Business Review,journal-article
Organisational Culture and Employee Engagement within the Ghanaian Public Sector,10.4172/2315-7844.1000233,0,Richard S Brenyah; Theresa Obuobisa Darko,,employee engagement,3.0,,OMICS Publishing Group,Review of Public Administration and Management,journal-article
Social Intrapreneurship: A New Horizon for Employee Engagement in CSR,10.4135/9781529739176.n7,2020,Debbie Haski-Leventhal; Ante Glavas; Lonneke Roza,,employee engagement,4.0,,SAGE Publications Ltd,Employee Engagement in Corporate Social Responsibility,book-chapter
The Psychology of Work and Employee Engagement,10.1007/978-3-030-36387-1_5,2020,Paul Turner,,employee engagement,4.0,,Springer International Publishing,Employee Engagement in Contemporary Organizations,book-chapter
The Organisation of Work and Employee Engagement,10.1007/978-3-030-36387-1_7,2020,Paul Turner,,employee engagement,4.0,,Springer International Publishing,Employee Engagement in Contemporary Organizations,book-chapter
"Article with BY print pub date, CY online pub date, issue BY print pub date",10.5555/pubdate12,2000,Bob. Surname,,employee turnover,0.0,,Test accounts,Journal of Test Deposits,journal-article
"Article with BY print pub date, CY online pub date, issue CY online BY print pub date",10.5555/pubdate9,2000,Bob. Surname,,employee turnover,0.0,,Test accounts,Journal of Test Deposits,journal-article
"Article with BY print pub date, issue BY print pub date",10.5555/pubdate10,2000,Bob. Surname,,employee turnover,0.0,,Test accounts,Journal of Test Deposits,journal-article
"Article with BY print pub date, issue CY online BY print pub date",10.5555/pubdate7,2000,Bob. Surname,,employee turnover,0.0,,Test accounts,Journal of Test Deposits,journal-article
"Article with BY print pub date, CY online pub date, issue CY online pub date",10.5555/pubdate6,2000,Bob. Surname,,employee turnover,0.0,,Test accounts,Journal of Test Deposits,journal-article
"Article with CY online pub date, issue BY print pub date",10.5555/pubdate11,0,Bob. Surname,,employee turnover,0.0,,Test accounts,Journal of Test Deposits,journal-article
"Article with CY online pub date, issue CY onlineBY print pub date",10.5555/pubdate8,0,Bob. Surname,,employee turnover,0.0,,Test accounts,Journal of Test Deposits,journal-article
Guide to Microforms in Print: Author/Title; Guide to Microforms in Print: Subject. 2 vols,10.1163/2468-1733_shafr_sim020030030,0,,,employee turnover,0.0,,Brill,The SHAFR Guide Online,dataset
"Title, author, date",10.1017/cbo9781107297951.002,1983,,,employee turnover,0.0,,Cambridge University Press,A Study of Daphnis and Chloe,book-chapter
URL Data Type,10.32388/yfmyre,0, ,,employee turnover,0.0,,Qeios,Definitions,reference-entry
Guide to Microforms in Print 2002: Incorporating International Microforms in Print. Author‐Title,10.1108/09504120310455768,2003,,,employee turnover,0.0,,Emerald,Reference Reviews,journal-article
From the Editor…: Make the Title Count,10.1111/j.1750-4910.2013.tb00161.x,2013,Marilyn H. Oermann; Adrianne K. Leonardelli,,employee turnover,0.0,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1750-4910.2013.tb00161.x,Wiley,Nurse Author &amp; Editor,journal-article
"Print, Sign, Date Form",10.32388/76qi4j,0, ,,employee turnover,0.0,,Qeios,Definitions,reference-entry
Select Bibliography (Works Published after 1800),10.1017/9781139021289.009,2019,,,employee turnover,0.8,,Cambridge University Press,Conflict and Enlightenment,book-chapter
Publishers and Distributors incorporating Print-on-Demand,10.1515/9783110405354-021,2021,,,employee turnover,1.2,,De Gruyter,Author Title and Subject Guide,book-chapter
Publishers and Distributors incorporating Print-on-Demand,10.1515/9783110405354-007,2021,,,employee turnover,1.2,,De Gruyter,Author Title and Subject Guide,book-chapter
Employee Turnover,10.1108/978-1-78973-483-620201006,2020,Paul Lim; Andrew Parker,,employee turnover,4.0,,Emerald Publishing Limited,Mentoring Millennials in an Asian Context,book-chapter
"Types of employee training, organizational identification, and turnover intention: evidence from Korean employees",10.21511/ppm.18(4).2020.41,2020,Ji-Young Ahn; Shilu Huang,"<jats:p>Many organizations are willing to increase human capital investment through various employee training programs. This study empirically examines a proposed model that explains the relationship between the different types of employee training, including general and firm-specific training and employee turnover in Korean firms. This study used a survey sample of 10,069 employees in 467 publicly traded firms in South Korea. 78% of participating companies provided training programs to the employees. This study conducted quantitative cross-sectional regression analyses to test the hypotheses. The study suggests empirical evidence that general training and firm-specific training reduce employee turnover intention. Moreover, the magnitude of firm-specific training on turnover intention is much higher than general training. Furthermore, employee organizational identification has a partial mediating effect on training and turnover intention. However, the study found no substantial evidence of the moderating effect of employees’ justice perception of receiving training opportunities. Based on the human capital theory and social exchange perspective, the results indicate that both types of training programs help employee retention, and cultivating employee organizational identification can be critical in the training-turnover process.</jats:p>",employee turnover,3.0,https://businessperspectives.org/images/pdf/applications/publishing/templates/article/assets/14539/PPM_2020_04_Ahn.pdf,LLC CPC Business Perspectives,Problems and Perspectives in Management,journal-article
Discrete Set Telecommunication URL Data Type,10.32388/29d9od,0, ,,employee turnover,0.0,,Qeios,Definitions,reference-entry
Human Resource Practices and Employee Turnover,10.5373/jardcs/v12sp8/20202557,2020,Dhruba Lal Pandey,,employee turnover,4.0,,Institute of Advanced Scientific Research,Journal of Advanced Research in Dynamical and Control Systems,journal-article
An Experiment to Link Geo-Referenced Multimedia and CityGML Features,10.62973/19-090r1,0,,,employee turnover,0.0,,"Open Geospatial Consortium, Inc.",,report
How do writing systems shape reading and reading acquisition? Kathy Rastle DOI: 10.36505/ExLing-2020/11/0001/000416  Published in ExLing 2020 Children’s syntax: a parametric approach William Snyder DOI: 10.36505/ExLing-2020/11/0002/000417  Published in ExLing 2020 A neurophonetic perspective on articulation planning Wolfram Ziegler DOI: 10.36505/ExLing-2020/11/0003/000418  Published in ExLing 2020 Masked priming in picture naming and lexical selection Manal Alharbi DOI: 10.36505/ExLing-2020/11/0004/000419  Published in ExLing 2020 Syllable rate vs. segment rate in perceived speech rate Yahya Aldholmi DOI: 10.36505/ExLing-2020/11/0005/000420  Published in ExLing 2020 Properties of nominal stress grammar in Greek Vasiliki Apostolouda DOI: 10.36505/ExLing-2020/11/0006/000421  Published in ExLing 2020 Eliciting focus-sensitive why-questions in Japanese,10.36505/exling-2020/11/0007/000422,0,Kodai Aramaki; Kanako Ikeda; Kyoko Yamakoshi; Tomohiro Fujii,"<jats:p>The study argues that in focus-sensitive why-questions in Japanese, why must precede its focus associate. It is proposed that this word order restriction follows if the why-as-CPmodifier approach is applied to the Japanese construction under investigation. It also reports the results of the elicitation experiment conducted to experimentally confirm the word order restriction.</jats:p>",employee turnover,0.0,,ExLing Society,Proceedings of 11th International Conference of Experimental Linguistics,proceedings-article
Microporous Materials for Separation Membranes,10.1007/s10337-020-03968-y,2020,,,employee turnover,1.0,https://link.springer.com/content/pdf/10.1007/s10337-020-03968-y.pdf,Springer Science and Business Media LLC,Chromatographia,journal-article
Colliding Employer-Employee Perspectives of Employee Turnover: Evidence from a Born-Global Industry,10.1002/tie.21751,2016,Vijay Pereira; Ashish Malik; Kajal Sharma,,employee turnover,3.2,,Wiley,Thunderbird International Business Review,journal-article
From Pen to Print: 8 Tips for Getting Published in Literary Magazines,10.33972/trr.53,0,Becky Tuch,"<jats:p xml:lang=""en"">1. Be professional. You have done the first part of your homework by visiting this site. Next, take the time to visit the individual sites of lit mags that you are interested in. Read their guidelines. For some reason, people often consider themselves exempt from rules. You're not. You must play by the rules like everyone else. It doesn't make you boring. It makes your writing accessible.</jats:p>",employee turnover,0.0,,"Foley Center Library, Gonzaga University",The Review Review,journal-article
Impact of Employee Turnover in the Hotel Industry An Empirical Study of Select Hotels in Uttar Pradesh,10.2139/ssrn.4185594,0,Dr Mohammad Kashif,,employee turnover,3.0,,Elsevier BV,SSRN Electronic Journal,journal-article
AUTHOR INDEX,10.1111/j.1464-410x.2006.06086.x,2006,,,employee turnover,0.0,,Wiley,BJU International,journal-article
Employee Turnover in India: Insights from the Public–Private Debate,10.1108/978-1-83909-293-020211011,2021,Kunal Kamal Kumar; Sushanta Kumar Mishra; Pawan Budhwar,,employee turnover,4.2,,Emerald Publishing Limited,Global Talent Retention: Understanding Employee Turnover Around the World,book-chapter
Title Page,10.1093/oso/9780199262953.002.0001,2006,Alexandra Gillespie,,employee turnover,0.0,,Oxford University PressOxford,Print Culture and the Medieval Author,other
"Author, Title, Date of Composition, Sources, Geographical Provenance",10.1163/9789047415725_004,2005,Robert M. Berchman,,employee turnover,0.0,,BRILL,Porphyry Against the Christians,book-chapter
Predicting Employee Turnover From Prehire Information,10.1037/e518332013-681,2012,James A. Breaugh,,employee turnover,3.0,,American Psychological Association (APA),PsycEXTRA Dataset,dataset
Select Bibliography,10.1163/9789004327238_008,1971,K. F. C. Rose,,employee turnover,0.0,,BRILL,The Date and Author of the Satyricon,book-chapter
The Irish Patriot in Print (1720–1725),10.1017/9781108878036.006,2020,,,employee turnover,1.0,,Cambridge University Press,Swift in Print,book-chapter
Does Employee Perceived Invasion of Information Privacy Link to Turnover Intention?,10.5465/amproc.2024.17bp,2024,Meng Xi; Yueyue Liu,,employee turnover,1.8,,Academy of Management,Academy of Management Proceedings,journal-article
Swift in Print,10.1017/9781108878036,2020,Valerie Rumbold,,employee turnover,1.0,,Cambridge University Press,,monograph
Impact of Supportive Work Environment on Employee Turnover Intention with Mediating Role of Organization Commitment: Evidence from Banking Sector,10.7176/rjfa/11-19-04,2020,,,employee turnover,4.0,,"International Institute for Science, Technology and Education",Research Journal of Finance and Accounting,journal-article
